"","ds","dep_var","TikTok","Facebook","Google_Ads","intercept","depVarHat","solID","cluster","top_sol"
"1",2018-01-07,9779.8,1524.91829044078,0,0,8846.32575375637,10371.2440441972,"1_68_13",9,FALSE
"2",2018-01-14,13245.19,1115.159438169,899.678247930982,553.081797327655,8846.32575375637,11414.245237184,"1_68_13",9,FALSE
"3",2018-01-21,12022.66,744.638748967804,914.380186299438,576.746830343434,8846.32575375637,11082.091519367,"1_68_13",9,FALSE
"4",2018-01-28,8846.95,461.001648403839,881.302874603436,4.56495426791336,8846.32575375637,10193.1952310316,"1_68_13",9,FALSE
"5",2018-02-04,9797.07,270.327273955948,514.425282766856,552.328055138704,8846.32575375637,10183.4063656179,"1_68_13",9,FALSE
"6",2018-02-11,13527.65,1351.7023939641,858.716392160286,560.428360987572,8846.32575375637,11617.1729008683,"1_68_13",9,FALSE
"7",2018-02-18,9635.43,950.258257207184,496.201390631984,635.226758974751,8846.32575375637,10928.0121605703,"1_68_13",9,FALSE
"8",2018-02-25,15355.11,1436.97860686112,867.554427651472,584.899424074565,8846.32575375637,11735.7582123435,"1_68_13",9,FALSE
"9",2018-03-04,12199.37,1029.81608219046,842.773846547204,522.180524617796,8846.32575375637,11241.0962071118,"1_68_13",9,FALSE
"10",2018-03-11,11368.23,675.426657667103,916.44974936953,599.402204586132,8846.32575375637,11037.6043653791,"1_68_13",9,FALSE
"11",2018-03-18,8640.44,412.538645630321,932.822249635922,4.97236850992702,8846.32575375637,10196.6590175325,"1_68_13",9,FALSE
"12",2018-03-25,4960.26,239.745130402855,557.411789273571,0.0182396397330283,8846.32575375637,9643.50091307253,"1_68_13",9,FALSE
"13",2018-04-01,12726.46,1472.09243225741,938.166344238943,6.6597032073031e-05,8846.32575375637,11256.5845968498,"1_68_13",9,FALSE
"14",2018-04-08,11421.71,1527.75373604851,561.987785018822,2.43156633680679e-07,8846.32575375637,10936.0672750669,"1_68_13",9,FALSE
"15",2018-04-15,10875.31,1117.96922430658,286.848059470145,425.943801196007,8846.32575375637,10677.0868387291,"1_68_13",9,FALSE
"16",2018-04-22,13048.08,1480.84955635041,132.11784974559,520.038985163727,8846.32575375637,10979.3321450161,"1_68_13",9,FALSE
"17",2018-04-29,10775.86,1071.96042377014,57.6843533145256,618.26664631885,8846.32575375637,10594.2371771599,"1_68_13",9,FALSE
"18",2018-05-06,15013.62,1444.01767561471,889.589707848521,536.184697442033,8846.32575375637,11716.1178346616,"1_68_13",9,FALSE
"19",2018-05-13,14158.32,1530.40706719476,521.204686120123,536.758649101618,8846.32575375637,11434.6961561729,"1_68_13",9,FALSE
"20",2018-05-20,15918.14,1494.43520035258,877.221271659201,528.964906876159,8846.32575375637,11746.9471326443,"1_68_13",9,FALSE
"21",2018-05-27,11128.75,1085.18432281339,511.104688777757,571.138554385885,8846.32575375637,11013.7533197334,"1_68_13",9,FALSE
"22",2018-06-03,12170.36,1495.37746231223,255.759048468269,540.878374706066,8846.32575375637,11138.3406392429,"1_68_13",9,FALSE
"23",2018-06-10,10134.7,1086.10456883982,116.513397141397,456.323291046504,8846.32575375637,10505.2670107841,"1_68_13",9,FALSE
"24",2018-06-17,11093.55,1409.73393201705,817.100065754702,2.90376233534851,8846.32575375637,11076.0635138635,"1_68_13",9,FALSE
"25",2018-06-24,8170.63,1004.06469668034,463.565531513779,0.0106309430760783,8846.32575375637,10313.9666128936,"1_68_13",9,FALSE
"26",2018-07-01,6542.71,655.02340949501,227.79541179802,3.88156913057786e-05,8846.32575375637,9729.1446138651,"1_68_13",9,FALSE
"27",2018-07-08,11325.8,398.499465844509,886.86188814464,535.533440108362,8846.32575375637,10667.2205478539,"1_68_13",9,FALSE
"28",2018-07-15,7793.24,230.987770555585,518.967482196243,595.45314362022,8846.32575375637,10191.7341501284,"1_68_13",9,FALSE
"29",2018-07-22,15010.94,1513.90831933158,932.661219417612,536.26570041998,8846.32575375637,11829.1609929255,"1_68_13",9,FALSE
"30",2018-07-29,10634.31,1104.28409743191,879.057585075708,3.92299133926095,8846.32575375637,10833.5904276033,"1_68_13",9,FALSE
"31",2018-08-05,11751.39,735.68005370963,937.462754716047,456.545189431642,8846.32575375637,10976.0137516137,"1_68_13",9,FALSE
"32",2018-08-12,9151.2,454.654492359892,996.617841646913,2.90622415758769,8846.32575375637,10300.5043119208,"1_68_13",9,FALSE
"33",2018-08-19,9141.46,266.290578948986,613.552540576035,639.955799095108,8846.32575375637,10366.1246723765,"1_68_13",9,FALSE
"34",2018-08-26,7399.92,150.686128568712,927.842469081982,5.8086856578021,8846.32575375637,9930.66303706487,"1_68_13",9,FALSE
"35",2018-09-02,10893.16,1399.84673637366,834.248147584403,0.0213241530207958,8846.32575375637,11080.4419618675,"1_68_13",9,FALSE
"36",2018-09-09,11550.47,994.797742112219,885.022174318676,392.416408452732,8846.32575375637,11118.56207864,"1_68_13",9,FALSE
"37",2018-09-16,8672.09,647.734219536215,517.461756967958,539.711873968196,8846.32575375637,10551.2336042287,"1_68_13",9,FALSE
"38",2018-09-23,9427.22,393.510679183942,791.425906556446,498.082273830099,8846.32575375637,10529.3446133269,"1_68_13",9,FALSE
"39",2018-09-30,8036.91,227.886756038381,444.01723662185,480.429556706554,8846.32575375637,9998.65930312316,"1_68_13",9,FALSE
"40",2018-10-07,11240.58,1403.56813009818,216.586548749654,480.967919254353,8846.32575375637,10947.4483518586,"1_68_13",9,FALSE
